site,date,race
BWH,2020-01-01,White
BWH,2020-01-02,Black
BWH,2020-01-02,Black
BWH,2020-01-02,Hispanic
BWH,2020-01-02,White
BWH,2020-01-02,White
BWH,2020-01-02,White
BWH,2020-01-02,White
BWH,2020-01-02,Asian
BWH,2020-01-02,Black
BWH,2020-01-02,Black
BWH,2020-01-03,White
BWH,2020-01-03,White
BWH,2020-01-03,Black
BWH,2020-01-03,White
BWH,2020-01-03,Black
BWH,2020-01-03,Black
BWH,2020-01-04,White
BWH,2020-01-04,Black
BWH,2020-01-04,White
BWH,2020-01-04,Black
BWH,2020-01-04,Asian
BWH,2020-01-04,Black
BWH,2020-01-04,White
BWH,2020-01-04,White
BWH,2020-01-04,Black
BWH,2020-01-05,Asian
BWH,2020-01-05,Asian
BWH,2020-01-05,Black
BWH,2020-01-05,Black
BWH,2020-01-05,White
BWH,2020-01-05,Hispanic
BWH,2020-01-06,Black
BWH,2020-01-06,Black
BWH,2020-01-06,Asian
BWH,2020-01-06,Black
BWH,2020-01-06,Black
BWH,2020-01-06,Asian
BWH,2020-01-06,Black
BWH,2020-01-07,White
BWH,2020-01-07,Asian
BWH,2020-01-07,Hispanic
BWH,2020-01-08,Black
BWH,2020-01-08,Black
BWH,2020-01-08,White
BWH,2020-01-08,Black
BWH,2020-01-08,White
BWH,2020-01-08,Black
BWH,2020-01-08,White
BWH,2020-01-09,Hispanic
BWH,2020-01-09,Asian
BWH,2020-01-10,Hispanic
BWH,2020-01-10,Hispanic
BWH,2020-01-10,Hispanic
BWH,2020-01-10,Black
BWH,2020-01-10,White
BWH,2020-01-10,Hispanic
BWH,2020-01-10,White
BWH,2020-01-11,Black
BWH,2020-01-11,Black
BWH,2020-01-11,Hispanic
BWH,2020-01-11,Black
BWH,2020-01-11,Black
BWH,2020-01-11,White
BWH,2020-01-11,White
BWH,2020-01-11,Black
BWH,2020-01-11,Black
BWH,2020-01-11,Asian
BWH,2020-01-12,Black
BWH,2020-01-12,Black
BWH,2020-01-12,Hispanic
BWH,2020-01-12,Black
BWH,2020-01-12,Black
BWH,2020-01-12,Black
BWH,2020-01-12,Asian
BWH,2020-01-12,Hispanic
BWH,2020-01-12,Hispanic
BWH,2020-01-13,Hispanic
BWH,2020-01-13,Black
BWH,2020-01-13,White
BWH,2020-01-13,Hispanic
BWH,2020-01-13,Black
BWH,2020-01-14,Hispanic
BWH,2020-01-14,Black
BWH,2020-01-14,Hispanic
BWH,2020-01-15,Black
BWH,2020-01-15,Hispanic
BWH,2020-01-15,White
BWH,2020-01-15,Asian
BWH,2020-01-16,White
BWH,2020-01-16,Black
BWH,2020-01-16,White
BWH,2020-01-16,White
BWH,2020-01-16,Black
BWH,2020-01-16,Black
BWH,2020-01-16,Asian
BWH,2020-01-16,Black
BWH,2020-01-17,White
BWH,2020-01-17,White
BWH,2020-01-17,Black
BWH,2020-01-17,Hispanic
BWH,2020-01-17,Asian
BWH,2020-01-17,White
BWH,2020-01-18,White
BWH,2020-01-18,Hispanic
BWH,2020-01-18,Black
BWH,2020-01-18,Black
BWH,2020-01-18,Hispanic
BWH,2020-01-18,White
BWH,2020-01-18,Hispanic
BWH,2020-01-18,Black
BWH,2020-01-19,Asian
BWH,2020-01-19,Hispanic
BWH,2020-01-19,Hispanic
BWH,2020-01-19,Black
BWH,2020-01-19,Black
BWH,2020-01-19,Black
BWH,2020-01-19,Asian
BWH,2020-01-19,White
BWH,2020-01-19,White
BWH,2020-01-19,Black
BWH,2020-01-20,White
BWH,2020-01-20,Black
BWH,2020-01-20,Asian
BWH,2020-01-20,White
BWH,2020-01-20,Black
BWH,2020-01-20,Asian
BWH,2020-01-20,White
BWH,2020-01-20,Black
BWH,2020-01-20,Hispanic
BWH,2020-01-20,Hispanic
BWH,2020-01-21,Hispanic
BWH,2020-01-21,White
BWH,2020-01-21,White
BWH,2020-01-21,White
BWH,2020-01-22,Black
BWH,2020-01-22,Hispanic
BWH,2020-01-22,White
BWH,2020-01-22,Black
BWH,2020-01-22,Asian
BWH,2020-01-22,Hispanic
BWH,2020-01-22,White
BWH,2020-01-23,White
BWH,2020-01-23,Asian
BWH,2020-01-23,Black
BWH,2020-01-23,Asian
BWH,2020-01-23,Black
BWH,2020-01-23,Hispanic
BWH,2020-01-23,White
BWH,2020-01-23,White
BWH,2020-01-23,White
BWH,2020-01-23,Asian
BWH,2020-01-24,Black
BWH,2020-01-25,Hispanic
BWH,2020-01-25,Black
BWH,2020-01-25,Black
BWH,2020-01-25,White
BWH,2020-01-26,White
BWH,2020-01-27,Black
BWH,2020-01-27,Black
BWH,2020-01-27,Asian
BWH,2020-01-27,White
BWH,2020-01-27,White
BWH,2020-01-27,Black
BWH,2020-01-27,Asian
BWH,2020-01-27,Asian
BWH,2020-01-27,Black
BWH,2020-01-28,White
BWH,2020-01-28,White
BWH,2020-01-28,Black
BWH,2020-01-28,Black
BWH,2020-01-28,Asian
BWH,2020-01-28,Hispanic
BWH,2020-01-28,White
BWH,2020-01-28,Asian
BWH,2020-01-28,Asian
BWH,2020-01-28,White
BWH,2020-01-29,Black
BWH,2020-01-30,Black
BWH,2020-01-31,Asian
BWH,2020-02-01,Hispanic
BWH,2020-02-01,Black
BWH,2020-02-01,Black
BWH,2020-02-01,White
BWH,2020-02-01,Black
